來源文字 ID,譯文 — 英文,譯文 — 閩南語（台灣）,譯文 — 中文（繁體）
setting.third-party-plugin.label-currently-installed,You currently have {{count}} plugin installed.,You currently have {{count}} plugin installed.,目前已安裝 {{count}} 個外掛程式。
setting.third-party-plugin.label-currently-installed_plural,You currently have {{count}} plugins installed.,You currently have {{count}} plugins installed.,目前已安裝 {{count}} 個外掛程式。
setting.third-party-plugin.label-debug-startup-time,Debug startup time,Debug startup time,啟動時間偵錯
setting.third-party-plugin.label-debug-startup-time-description,Show a message with how long each plugin took to initialize when starting the app.,Show a message with how long each plugin took to initialize when starting the app.,顯示各個外掛程式初始化過程所耗費的時間。
setting.third-party-plugin.msg-no-updates-found,No plugin updates found.,No plugin updates found.,尚無更新的外掛程式。
setting.third-party-plugin.msg-updates-found,Found {{count}} plugin to update.,Found {{count}} plugin to update.,尋獲 {{count}} 個須更新的外掛程式。
setting.third-party-plugin.msg-updates-found_plural,Found {{count}} plugins to update.,Found {{count}} plugins to update.,尋獲 {{count}} 個須更新的外掛程式。
setting.third-party-plugin.msg-update-plugin,Update to version {{version}},Update to version {{version}},更新至版本 {{version}}
setting.third-party-plugin.option-search-installed-plugin,Search installed plugins,Search installed plugins,搜尋已安裝外掛程式
setting.third-party-plugin.option-search-installed-plugin-description,Filter installed plugins by name or description.,Filter installed plugins by name or description.,以名稱或描述過濾已安裝外掛程式。
setting.third-party-plugin.placeholder-search-installed-plugin,Search installed plugins...,Search installed plugins...,搜尋已安裝外掛程式…
setting.third-party-plugin.show-installed-only,Show installed only,Show installed only,僅顯示已安裝
setting.third-party-plugin.label-donate-modal-title,Donate to support {{name}},Donate to support {{name}},贊助以支持 {{name}}
setting.third-party-plugin.label-donate-modal-text1,"Plugin developers are community volunteers who make amazing things out of passion. If you find this plugin useful, please consider funding its development.","Plugin developers are community volunteers who make amazing things out of passion. If you find this plugin useful, please consider funding its development.",外掛程式的開發者為社群的志願者，出於熱情而達成令人嘆服的事情，如果您覺得此外掛程式很好用，請考慮贊助其開發。
setting.third-party-plugin.label-donate-modal-text2,100% of your contribution will go to the plugin developer; Obsidian does not take a cut. The funding platform they choose might charge a fee.,100% of your contribution will go to the plugin developer; Obsidian does not take a cut. The funding platform they choose might charge a fee.,您的贊助將全數給予外掛程式的開發者，Obsidian 不會從中抽成。開發者選擇的贊助平台可能會收取手續費。
setting.third-party-plugin.label-donate-modal-text3,Thanks for your generous support!,Thanks for your generous support!,感謝您的慷慨贊助！
setting.third-party-plugin.label-support-this-plugin,Support this plugin:,Support this plugin:,支持此外掛程式：
setting.third-party-plugin.label-search-summary,Showing {{pluginCount}}:,Showing {{pluginCount}}:,顯示 {{pluginCount}}：
setting.third-party-plugin.label-by-popularity,Most downloaded,Most downloaded,最多下載次數
setting.third-party-plugin.label-by-released,Recently released,Recently released,最近推出
setting.third-party-plugin.label-by-updated,Recently updated,Recently updated,最近更新
setting.third-party-plugin.label-alphabetical,Alphabetical,Alphabetical,按字母排序
setting.third-party-plugin.label-last-updated,Updated {{time}},Updated {{time}},於 {{time}} 更新
setting.mobile-toolbar.name,Mobile toolbar,Mobile toolbar,行動版工具列
setting.mobile-toolbar.option-configure-quick-action,Configure mobile Quick Action,Configure mobile Quick Action,設定移動裝置的快速操作
setting.mobile-toolbar.option-configure-quick-action-description,"Configure which command to trigger when pull down from the top. The current command is set to ""{{command}}"".","Configure which command to trigger when pull down from the top. The current command is set to ""{{command}}"".",設定由頂端往下拖拉時觸發的命令，目前設定的命令是：「{{command}}」。
setting.mobile-toolbar.button-configure,Configure,Configure,設定
setting.mobile-toolbar.placeholder-select-quick-action,Select Quick Action...,Select Quick Action...,選擇快速操作…
setting.mobile-toolbar.manage-toolbar-options,Manage toolbar options,Manage toolbar options,管理工具列選項
setting.mobile-toolbar.option-internal-link,Add internal link,Add internal link,新增內部連結
setting.mobile-toolbar.option-internal-embed,Add embed,Add embed,新增嵌入
setting.mobile-toolbar.option-tag,Add tag,Add tag,新增標籤
setting.mobile-toolbar.option-heading,Toggle heading,Toggle heading,切換標題
setting.mobile-toolbar.option-strikethrough,Toggle strikethrough,Toggle strikethrough,切換刪除線
setting.mobile-toolbar.option-highlight,Toggle highlight,Toggle highlight,切換突顯效果
setting.mobile-toolbar.option-code,Toggle code,Toggle code,切換程式碼
setting.mobile-toolbar.option-blockquote,Toggle blockquote,Toggle blockquote,切換區塊引用
setting.mobile-toolbar.option-markdown-link,Add Markdown link,Add Markdown link,新增 Markdown 連結
setting.mobile-toolbar.option-bullet-list,Toggle bullet list,Toggle bullet list,切換項目清單
setting.mobile-toolbar.option-numbered-list,Toggle numbered list,Toggle numbered list,切換編號清單
setting.mobile-toolbar.option-indent-list,Indent list item,Indent list item,內縮清單項目
setting.mobile-toolbar.option-unindent-list,Unindent list item,Unindent list item,取消內縮清單項目
setting.mobile-toolbar.option-undo,Undo,Undo,復原
setting.mobile-toolbar.option-redo,Redo,Redo,重做
setting.mobile-toolbar.option-move-caret-up,Move caret up,Move caret up,向上移動游標
setting.mobile-toolbar.option-move-caret-down,Move caret down,Move caret down,向下移動游標
setting.mobile-toolbar.option-move-caret-left,Move caret left,Move caret left,向左移動游標
setting.mobile-toolbar.option-move-caret-right,Move caret right,Move caret right,向右移動游標
setting.mobile-toolbar.option-first-line,Go to first line,Go to first line,移動至第一行
setting.mobile-toolbar.option-last-line,Go to last line,Go to last line,移動至最後一行
setting.mobile-toolbar.option-toggle-keyboard,Toggle keyboard,Toggle keyboard,切換鍵盤
setting.mobile-toolbar.option-configure-toolbar,Configure mobile toolbar,Configure mobile toolbar,設定行動版工具列
setting.mobile-toolbar.option-added-options,Added options,Added options,已新增選項
setting.mobile-toolbar.option-more-toolbar-options,More toolbar options,More toolbar options,更多工具列選項
setting.mobile-toolbar.option-attach,Insert attachment,Insert attachment,插入附件
setting.mobile-toolbar.option-add-command,Add global command,Add global command,加入全域命令
setting.mobile-toolbar.option-add-command-description,Select any global command to add to the toolbar.,Select any global command to add to the toolbar.,選擇要加入至工具列的全域命令。
editor.search.placeholder-find,Find,Find,尋找
editor.search.placeholder-replace,Replace,Replace,取代
editor.search.label-previous,Prev,Prev,上一個
editor.search.label-next,Next,Next,下一個
editor.search.label-all,All,All,選擇全部
editor.search.label-exit-search,Exit search,Exit search,退出搜尋
editor.search.label-replace,Replace,Replace,取代
editor.search.label-replace-all,Replace all,Replace all,全部取代
editor.link-suggestion.label-type-hash,Type #,Type #,輸入 #
editor.link-suggestion.label-link-heading,to link heading,to link heading,以連結到標題
editor.link-suggestion.label-type-block,Type ^,Type ^,輸入 ^
editor.link-suggestion.label-link-block,to link blocks,to link blocks,以連結到區塊
editor.link-suggestion.label-type-pipe,Type |,Type |,輸入 |
editor.link-suggestion.label-change-display-text,to change display text,to change display text,指定顯示的文字
editor.link-suggestion.label-no-match-found,No match found,No match found,未找到符合結果
editor.spellcheck.no-suggestion,No suggestions...,No suggestions...,沒有建議……
editor.spellcheck.add-to-dictionary,Add to dictionary,Add to dictionary,加入詞典
editor.menu.edit-link,Edit link,Edit link,編輯連結
editor.heading-suggestion.label-no-heading,No heading,No heading,沒有標題
editor.heading-suggestion.label-heading-level,Heading {{level}},Heading {{level}},標題 {{level}}
editor.print-modal.title,Export to PDF,Export to PDF,匯出 PDF
editor.print-modal.caption,"Export ""{{filename}}"" to PDF with the setting below.","Export ""{{filename}}"" to PDF with the setting below.",以下列設定匯出「{{filename}}」為 PDF。
editor.print-modal.setting-page-size,Page size,Page size,紙張大小
editor.print-modal.setting-page-size-a3,A3,A3,A3
editor.print-modal.setting-page-size-a4,A4,A4,A4
editor.print-modal.setting-page-size-a5,A5,A5,A5
editor.print-modal.setting-page-size-legal,Legal,Legal,Legal
editor.print-modal.setting-page-size-letter,Letter,Letter,Letter
editor.print-modal.setting-page-size-tabloid,Tabloid,Tabloid,Tabloid
editor.print-modal.setting-include-file-name,Include file name as title,Include file name as title,將檔名作為標題
editor.print-modal.setting-landscape,Landscape,Landscape,橫向
editor.print-modal.setting-margin,Margin,Margin,邊界
editor.print-modal.setting-margin-default,Default,Default,預設
editor.print-modal.setting-margin-minimal,Minimal,Minimal,最小
editor.print-modal.setting-margin-none,None,None,無
editor.print-modal.setting-downscale-percent,Downscale percent,Downscale percent,縮小百分比
editor.print-modal.button-export-to-pdf,Export to PDF,Export to PDF,匯出 PDF
editor.link-popover.tooltip-follow-link,Follow link,Follow link,跟隨連結
editor.link-popover.tooltip-open-link,Open link,Open link,開啟連結
editor.link-popover.tooltip-search-tag,Search tag,Search tag,搜尋標籤
interface.embed-cannot-find,Cannot find:,Cannot find:,找不到：
interface.embed-open-in-default-app-tooltip,Open in default app,Open in default app,在預設應用程式中開啟
interface.empty-sidebar,"The sidebar is empty, try dragging a pane here.","The sidebar is empty, try dragging a pane here.",側邊欄空白，請嘗試將窗格拖曳至此。
interface.sidebar-expand,Expand,Expand,展開
interface.sidebar-collapse,Collapse,Collapse,摺疊
interface.msg-fail-to-save-file,"Failed to save file ""{{filepath}}"". {{message}}.","Failed to save file ""{{filepath}}"". {{message}}.",「{{filepath}}」檔案儲存失敗。{{message}}。
interface.no-file,No file,No file,未開啟檔案
interface.msg-file-changed,"""{{file}}"" has been modified externally, merging changes automatically.","""{{file}}"" has been modified externally, merging changes automatically.",「{{file}}」已被外部修改，自動合併變動。
interface.switch-vault,Open another vault,Open another vault,開啟其他儲存庫
interface.help,Help,Help,說明
interface.settings,Settings,Settings,設定
interface.drag-to-rearrange,Drag to rearrange,Drag to rearrange,拖曳調整配置
interface.msg-switched-to-read,Switched default view mode to reading view.,Switched default view mode to reading view.,已將預設檢視模式切換為閱讀檢視模式。
interface.msg-switched-to-edit,Switched default view mode to editor.,Switched default view mode to editor.,切換預設檢視至編輯模式。
interface.msg-upgrade-installer,"To use this feature, please re-install with latest installer available from our website.","To use this feature, please re-install with latest installer available from our website.",欲使用此功能，請由官網下載，並重新安裝最新版本的應用程式。
interface.tooltip-restore-default-settings,Restore default settings,Restore default settings,還原為預設設定
interface.label-copy,Copy to clipboard,Copy to clipboard,複製到系統剪貼簿
interface.copied_generic,Copied to your clipboard,Copied to your clipboard,已複製到剪貼簿
interface.copied,{{item}} copied to your clipboard,{{item}} copied to your clipboard,{{item}} 已複製到系統剪貼簿
interface.url,Url,Url,URL
interface.msg-open-file-through-uri,"Opened file ""{{path}}""","Opened file ""{{path}}""",已開啟檔案：「{{path}}」
interface.msg-file-not-found-through-uri,"File ""{{name}}"" not found.","File ""{{name}}"" not found.",找不到檔案「{{name}}」。
interface.delete-action-short-name,Delete,Delete,刪除
interface.msg-indexing,Obsidian is indexing your vault...,Obsidian is indexing your vault...,Obsidian 正在索引您的儲存庫……
,This should only happen once.,This should only happen once.,這個動作應只發生一次，
,Some functionality may not be available until this is complete.,Some functionality may not be available until this is complete.,在索引完成前，可能會有部分功能無法使用。
interface.msg-indexing-complete,Indexing complete.,Indexing complete.,索引完成。
interface.msg-sandbox-vault,This is a sandbox vault.,This is a sandbox vault.,這是沙盒儲存庫。
,Changes you make in this vault will be lost.,Changes you make in this vault will be lost.,在此儲存庫做出的所有更動皆不儲存。
interface.label-enter-to-create,Enter to create,Enter to create,輸入以建立
interface.label-update-available,Update Available,Update Available,有可用更新
interface.label-debug-info,Debug info,Debug info,除錯資訊
interface.button-learn-more,Learn more,Learn more,深入了解
interface.button-not-now,Not now,Not now,稍後再說
interface.button-add,Add,Add,新增
interface.button-manage,Manage,Manage,管理
interface.label-new-tab,New tab,New tab,新分頁
interface.msg-tab-busy,"This tab is currently busy, please try again later","This tab is currently busy, please try again later",此分頁目前忙碌中，請稍後再試
interface.empty-state.no-file-open,No file is open,No file is open,未開啟檔案
interface.empty-state.create-new-file,Create new file,Create new file,建立新檔案
interface.empty-state.go-to-file,Go to file,Go to file,開啟檔案
interface.empty-state.see-recent-files,See recent files,See recent files,查看近期檔案
interface.empty-state.close,Close,Close,關閉窗格
interface.empty-state.unknown-pane-title,Plugin no longer active,Plugin no longer active,外掛程式已不復活躍
interface.empty-state.unknown-pane-desc,The plugin that created this pane ({{type}}) has gone away,The plugin that created this pane ({{type}}) has gone away,建立本窗格（{{type}}）的外掛程式已經遠走高飛
interface.menu.edit-view,Edit (Ctrl/Cmd+Click to edit in new pane),Edit (Ctrl/Cmd+Click to edit in new pane),編輯 (按住 Ctrl/Cmd 開啟新窗格)
interface.menu.read-view,Current view: reading,Current view: reading,目前檢視：閱讀模式
interface.menu.switch-to-edit-view,Click to edit,Click to edit,點一下編輯
interface.menu.switch-to-read-view,Click to read,Click to read,點一下閱讀
interface.menu.mod-click-open-new-tab,{{key}}+Click to open in new tab,{{key}}+Click to open in new tab,{{key}}+點一下以在新分頁中開啟
interface.menu.find,Find...,Find...,查詢…
interface.menu.replace,Replace...,Replace...,取代…
interface.menu.edit,Edit,Edit,編輯
interface.menu.preview,Preview,Preview,預覽
interface.menu.more-options,More options,More options,更多選項
interface.menu.close,Close,Close,關閉
interface.menu.close-all,Close all,Close all,全部關閉
interface.menu.close-others,Close others,Close others,關閉其他
interface.menu.close-right,Close tabs to the right,Close tabs to the right,關閉右側分頁
interface.menu.pin,Pin,Pin,釘選
interface.menu.unpin,Unpin,Unpin,取消釘選
interface.menu.unlink-tab,Unlink tab,Unlink tab,取消連結分頁
interface.menu.link-tab,Link with tab...,Link with tab...,與分頁連結…
interface.menu.toggle-source-mode,Source mode,Source mode,原始碼模式
interface.menu.toggle-reading-view,Reading view,Reading view,閱讀檢視模式
interface.menu.delete-file,Delete file,Delete file,刪除檔案
interface.menu.create-file,Create this file,Create this file,建立此檔案
interface.menu.open-link,Open link,Open link,開啟連結
interface.menu.open-in-new-tab,Open in new tab,Open in new tab,在新分頁開啟
interface.menu.open-to-the-right,Open to the right,Open to the right,在右側開啟
interface.menu.copy-url,Copy url,Copy url,複製網址
interface.menu.close-current-tab,Close current tab,Close current tab,關閉目前分頁
interface.menu.copy,Copy,Copy,複製
interface.menu.cut,Cut,Cut,剪下
interface.menu.paste,Paste,Paste,貼上
interface.menu.paste-as-plain-text,Paste as plain text,Paste as plain text,以純文字貼上
interface.menu.lookup-selection,Look up “{{selection}}”,Look up “{{selection}}”,查詢 「{{selection}}」
interface.menu.select-all,Select all,Select all,全選
interface.menu.rename-heading,Rename this heading...,Rename this heading...,重新命名標題…
interface.menu.rename-blockid,Rename this block ID...,Rename this block ID...,重新命名此區塊 ID…
interface.menu.open-in-new-window,Open in new window,Open in new window,在新視窗開啟
interface.menu.move-to-new-window,Move to new window,Move to new window,移至新視窗
interface.menu.open-in-browser,Open in browser,Open in browser,在瀏覽器開啟
interface.menu.stack-tabs,Stack tabs,Stack tabs,堆疊分頁
interface.menu.unstack-tabs,Unstack tabs,Unstack tabs,取消堆疊分頁
interface.menu.open-linked-view,Open linked view,Open linked view,開啟連結化檢視
interface.tooltip.click-to-expand,Click to expand,Click to expand,點選展開
interface.tooltip.click-to-collapse,Click to collapse,Click to collapse,點選摺疊
interface.tooltip.alias,Alias,Alias,別名
interface.tooltip.not-created-yet,"Not created yet, select to create","Not created yet, select to create",尚未建立，選擇以建立
interface.start-screen.label-version,Version,Version,版本
interface.start-screen.label-create-local-vault,Create local vault,Create local vault,建立本機儲存庫
interface.start-screen.option-open-folder-as-vault,Open folder as vault,Open folder as vault,開啟資料夾為儲存庫
interface.start-screen.option-open-folder-as-vault-description,Choose an existing folder of Markdown files.,Choose an existing folder of Markdown files.,選擇已存在的 Markdown 檔案資料夾。
interface.start-screen.option-create-vault,Create new vault,Create new vault,建立新的儲存庫
interface.start-screen.option-create-vault-description,Create a new Obsidian vault under a folder.,Create a new Obsidian vault under a folder.,於資料夾內建立新的 Obsidian 儲存庫。
interface.start-screen.option-connect-obsidian-sync,Connect to Obsidian Sync,Connect to Obsidian Sync,連接至 Obsidian Sync
interface.start-screen.option-connect-obsidian-sync-description,Set up a synced vault with existing remote vault.,Set up a synced vault with existing remote vault.,設定與現有遠端儲存庫同步的儲存庫。
interface.start-screen.option-new-vault-name,Vault name,Vault name,儲存庫名稱
interface.start-screen.option-new-vault-name-description,Pick a name for your awesome vault.,Pick a name for your awesome vault.,選擇適當的儲存庫名稱。
interface.start-screen.option-new-vault-location,Location,Location,位置
interface.start-screen.option-new-vault-location-description,Pick a place to put your new vault.,Pick a place to put your new vault.,選擇置放儲存庫的位置。
interface.start-screen.label-new-vault-location-preview,Your new vault will be placed in:,Your new vault will be placed in:,您的新儲存庫會放在：
interface.start-screen.option-reveal-vault-in-explorer,Reveal vault in system explorer,Reveal vault in system explorer,在系統檔案總管中開啟儲存庫
interface.start-screen.option-reveal-vault-in-explorer-mac,Reveal vault in Finder,Reveal vault in Finder,在 Finder 中顯示儲存庫
interface.start-screen.option-rename-vault,Rename vault...,Rename vault...,重新命名儲存庫…
interface.start-screen.msg-error-rename-exists,There is already a vault with this name.,There is already a vault with this name.,已存在相同名稱的儲存庫。
interface.start-screen.msg-error-nested,Cannot move vault into a subfolder of itself.,Cannot move vault into a subfolder of itself.,無法將儲存庫移至其子資料夾。
interface.start-screen.msg-error-rename-open,Can't rename a currently open vault.,Can't rename a currently open vault.,無法重新命名目前開啟的儲存庫。
interface.start-screen.msg-rename-failed,Failed to rename vault.,Failed to rename vault.,無法重新命名儲存庫。
interface.start-screen.msg-rename-success,Successfully renamed vault.,Successfully renamed vault.,成功重新命名儲存庫。
interface.start-screen.option-move-vault,Move vault...,Move vault...,移動儲存庫……
interface.start-screen.msg-move-select-dest,Select destination folder,Select destination folder,選擇目的地資料夾
interface.start-screen.msg-error-move-exists,There is already a vault at the destination.,There is already a vault at the destination.,目的地已有儲存庫。
interface.start-screen.msg-error-move-open,Can't move a currently open vault.,Can't move a currently open vault.,無法移動目前已開啟的儲存庫。
interface.start-screen.msg-move-failed,Failed to move vault.,Failed to move vault.,無法移動儲存庫。
interface.start-screen.msg-move-success,Successfully moved vault.,Successfully moved vault.,成功移動儲存庫。
interface.start-screen.option-remove,Remove from list,Remove from list,從列表中移除
interface.start-screen.button-quick-start,Quick start,Quick start,快速開始
interface.start-screen.button-open,Open,Open,開啟
interface.start-screen.button-browse,Browse,Browse,瀏覽
interface.start-screen.button-connect,Connect,Connect,連接
interface.start-screen.button-create-vault,Create,Create,建立
interface.start-screen.button-back,Back,Back,返回
interface.start-screen.msg-empty-vault-name,Vault name cannot be empty.,Vault name cannot be empty.,必須輸入儲存庫名稱。
interface.start-screen.msg-invalid-folder,Please pick a valid folder.,Please pick a valid folder.,請選擇適當的資料夾。
interface.start-screen.msg-failed-to-create-vault,Failed to create vault.,Failed to create vault.,建立儲存庫失敗。
interface.start-screen.msg-failed-to-create-vault-at-location,Could not create vault at the given location. Please double-check the location and permission.,Could not create vault at the given location. Please double-check the location and permission.,指定的位置無法建立儲存庫，請確認存放位置與資料夾權限。
interface.start-screen.msg-error-failed-to-open-vault,Failed to open.,Failed to open.,開啟檔案失敗。
interface.start-screen.msg-error-remove-current-open-vault,Can't remove a currently open vault.,Can't remove a currently open vault.,開啟中的儲存庫無法刪除。
interface.start-screen.option-get-help,Get Help,Get Help,取得協助
interface.start-screen.option-user-email,Email,Email,電子郵件地址
interface.start-screen.placeholder-your-email,Your email...,Your email...,您的電子郵件地址……
interface.start-screen.option-user-password,Password,Password,密碼
interface.start-screen.placeholder-your-password,Your password...,Your password...,您的密碼……
interface.start-screen.button-sign-in,Sign in,Sign in,登入
interface.start-screen.button-setup,Setup,Setup,設置
interface.start-screen.option-connect-vault-desc,Create a synced vault on this device.,Create a synced vault on this device.,在此裝置上建立同步儲存庫。
interface.start-screen.tooltip-own-vault,This is a remote vault owned by you.,This is a remote vault owned by you.,這是屬於您的遠端儲存庫。
interface.start-screen.tooltip-shared-vault,This is a remote vault shared with you.,This is a remote vault shared with you.,這是與您共享的遠端儲存庫。
interface.drag-and-drop.insert-link-here,Insert link here,Insert link here,在此插入連結
interface.drag-and-drop.insert-links-here,Insert links here,Insert links here,在此插入連結
interface.drag-and-drop.move-into-folder,"Move into ""{{folder}}""","Move into ""{{folder}}""",搬移至「{{folder}}」
interface.drag-and-drop.star-this-file,Star this file,Star this file,收藏本檔案
interface.drag-and-drop.star-these-files,Star these files,Star these files,收藏這些檔案
interface.drag-and-drop.open-in-this-tab,Open in this tab,Open in this tab,在此分頁開啟
interface.drag-and-drop.open-as-tab,Open as new tab,Open as new tab,以新分頁開啟
interface.window.maximize,Maximize,Maximize,最大化
interface.window.minimize,Minimize,Minimize,最小化
interface.window.restore-down,Restore down,Restore down,還原
interface.window.close-window,Close window,Close window,關閉視窗
interface.window.go-back,Go back,Go back,返回
interface.window.go-forward,Go forward,Go forward,前往
interface.start-up.loading-obsidian,Loading Obsidian...,Loading Obsidian...,正在載入 Obsidian……
interface.start-up.obsidian-load-error,An error occurred while loading Obsidian.,An error occurred while loading Obsidian.,載入 Obsidian 時發生錯誤。
interface.start-up.button-reload-app,Reload app,Reload app,重新載入應用程式
interface.start-up.button-reload-app-in-safe-mode,Reload app in safe mode,Reload app in safe mode,重新載入應用程式進安全模式
interface.start-up.button-open-another-vault,Open another vault,Open another vault,開啟另一個儲存庫
interface.start-up.loading-components,Loading components...,Loading components...,正在載入元件……
interface.start-up.loading-plugins,Loading plugins...,Loading plugins...,正在載入外掛程式……
interface.start-up.loading-vault,Loading vault...,Loading vault...,正在載入儲存庫……
interface.start-up.msg-failed-to-load-vault,Failed to load vault:,Failed to load vault:,無法載入儲存庫：
interface.start-up.loading-cache,Loading cache...,Loading cache...,正在載入快取……
interface.start-up.loading-workspace,Loading workspace...,Loading workspace...,正在載入工作區……
interface.mobile.action-import,Import into vault,Import into vault,匯入至儲存庫
interface.mobile.action-choose-file-to-insert,Choose a file to insert,Choose a file to insert,選擇檔案以插入
interface.mobile.action-insert-text-into-file,Insert text into {{filename}},Insert text into {{filename}},將文字插入 {{filename}}
interface.mobile.action-insert-link-into-file,Insert link into {{filename}},Insert link into {{filename}},將連結插入 {{filename}}
interface.mobile.msg-importing,Importing...,Importing...,匯入中…
interface.mobile.msg-import-success,Import success,Import success,匯入成功
interface.mobile.msg-failed-to-import-file,Failed to import file {{filename}},Failed to import file {{filename}},匯入 {{filename}} 失敗
interface.mobile.msg-back-again-to-exit,Press back again to exit.,Press back again to exit.,再按一次返回鍵以離開。
interface.help-screen.label-official-help-site,Official help site,Official help site,官方說明網頁
interface.help-screen.label-official-help-site-desc,"Read the official help documentation of Obsidian, available in multiple languages.","Read the official help documentation of Obsidian, available in multiple languages.",閱讀 Obsidian 的官方說明文件，提供多語言版本。
interface.help-screen.action-visit,Visit,Visit,前往
interface.help-screen.label-discord-chat,Discord chat,Discord chat,Discord 聊天室
interface.help-screen.label-discord-chat-desc,Discord is the best place to chat with other experienced Obsidian users from around the world.,Discord is the best place to chat with other experienced Obsidian users from around the world.,Discord 是與世界各地的 Obsidian 老手聊天的好地方。
interface.help-screen.action-join,Join,Join,加入
interface.help-screen.label-forum,Official forum,Official forum,官方論壇
interface.help-screen.label-forum-desc,"Help each other, post feature requests, report bugs, and have in-depth discussions about knowledge management.","Help each other, post feature requests, report bugs, and have in-depth discussions about knowledge management.",互相協助、發表功能請求、回報問題，或是深入探討知識管理。
interface.help-screen.label-sandbox-vault,Sandbox vault,Sandbox vault,沙盒儲存庫
interface.help-screen.label-sandbox-vault-desc,Play around and experiment with various features. Please note your changes will not be saved.,Play around and experiment with various features. Please note your changes will not be saved.,探索並試驗各種功能，不會儲存您的更動。
commands.save-file,Save current file,Save current file,儲存目前檔案
commands.follow-cursor-link,Follow link under cursor,Follow link under cursor,跟隨游標處的連結
commands.open-cursor-link-in-new-tab,Open link under cursor in new tab,Open link under cursor in new tab,在新分頁中開啟游標下的連結
commands.open-cursor-link-to-the-right,Open link under cursor to the right,Open link under cursor to the right,在右側開啟游標下的連結
commands.open-cursor-link-in-new-window,Open link under cursor in new window,Open link under cursor in new window,在新視窗中開啟游標下的連結
commands.navigate-tab-above,Focus on tab group above,Focus on tab group above,聚焦到上方的分頁群組
commands.navigate-tab-below,Focus on tab group below,Focus on tab group below,聚焦到下方的分頁群組
commands.navigate-tab-left,Focus on tab group to the left,Focus on tab group to the left,聚焦到左側的分頁群組
commands.navigate-tab-right,Focus on tab group to the right,Focus on tab group to the right,聚焦到右側的分頁群組
commands.toggle-pin,Toggle pin,Toggle pin,釘選切換
commands.split-right,Split right,Split right,向右分割
commands.split-down,Split down,Split down,向下分割
commands.toggle-stacked-tabs,Toggle stacked tabs,Toggle stacked tabs,切換堆疊分頁
commands.navigate-back,Navigate back,Navigate back,返回
commands.navigate-forward,Navigate forward,Navigate forward,前進
commands.use-dark-mode,Use dark mode,Use dark mode,使用暗黑主題
commands.use-light-mode,Use light mode,Use light mode,使用明亮主題
commands.change-theme,Change theme,Change theme,更改主題
commands.search-current-file,Search current file,Search current file,在目前筆記中查詢
commands.search-replace-current-file,Search & replace in current file,Search & replace in current file,在目前筆記中查詢並取代
commands.open-settings,Open settings,Open settings,開啟設定
commands.open-help,Open help,Open help,查看說明
commands.toggle-edit,Toggle editing/reading view,Toggle editing/reading view,切換編輯/閱讀檢視模式
commands.toggle-source-mode,Toggle Live Preview/Source mode,Toggle Live Preview/Source mode,切換實際預覽/原始碼模式
commands.delete-current-file,Delete current file,Delete current file,刪除目前檔案
commands.new-tab,New tab,New tab,新分頁
commands.close-all-tabs,Close all tabs,Close all tabs,關閉所有分頁
commands.close-active-tab,Close current tab,Close current tab,關閉目前分頁
commands.close-others-in-tab-group,Close others in tab group,Close others in tab group,關閉分頁群組中的其他分頁
commands.close-other-tabs,Close all other tabs,Close all other tabs,關閉所有其他分頁
commands.close-tab-group,Close this tab group,Close this tab group,關閉此分頁群組
commands.toggle-left-sidebar,Toggle left sidebar,Toggle left sidebar,收合/展開左側邊欄
commands.toggle-right-sidebar,Toggle right sidebar,Toggle right sidebar,收合/展開右側邊欄
commands.toggle-default-new-tab-mode,Toggle default mode for new tabs,Toggle default mode for new tabs,切換新分頁的預設模式
commands.focus-editor,Focus on editor,Focus on editor,移至編輯區
commands.toggle-fold,Toggle fold on the current line,Toggle fold on the current line,收合/展開目前行
commands.fold-all,Fold all headings and lists,Fold all headings and lists,收合所有標題和列表
commands.unfold-all,Unfold all headings and lists,Unfold all headings and lists,展開所有標題和列表
commands.fold-more,Fold more,Fold more,收合更多
commands.fold-less,Fold less,Fold less,收合較少
commands.swap-line-up,Swap line up,Swap line up,與上一行互換
commands.swap-line-down,Swap line down,Swap line down,與下一行互換
commands.remove-heading,Remove heading,Remove heading,移除標題
commands.toggle-heading,Set as heading {{level}},Set as heading {{level}},設為標題 {{level}}
commands.toggle-bold,Toggle bold for selection,Toggle bold for selection,切換所選文字的粗體效果
commands.toggle-italics,Toggle italics for selection,Toggle italics for selection,切換所選文字的斜體效果
commands.toggle-highlight,Toggle highlight for selection,Toggle highlight for selection,切換所選文字的突顯效果
commands.toggle-comments,Toggle comments for selection,Toggle comments for selection,切換所選文字的註解
commands.insert-link,Insert link,Insert link,插入連結
commands.toggle-spellcheck,Toggle spellcheck,Toggle spellcheck,切換拼寫檢查
commands.delete-paragraph,Delete paragraph,Delete paragraph,刪除段落
commands.toggle-checklist,Toggle checklist status,Toggle checklist status,切換待辦事項狀態
commands.cycle-list-checklist,Cycle bullet/checkbox,Cycle bullet/checkbox,切換要點/核取方塊
commands.insert-callout,Insert callout,Insert callout,插入註標 (callout)
commands.edit-file-title,Edit file title,Edit file title,編輯檔案標題
commands.copy-path,Copy file path,Copy file path,複製檔案路徑
commands.copy-url,Copy obsidian url,Copy obsidian url,複製 Obsidian 網址
commands.export-pdf,Export to PDF,Export to PDF,匯出 PDF
commands.reload,Reload app without saving,Reload app without saving,放棄儲存並重新載入程式
